artist rymrat prat reviews
"Red House Painters" 3.93 4,563 136
"The Chameleons" 3.93 4,587 177
"PJ Harvey" 3.89 6,555 171
Opeth 3.87 7,075 252
"The Horace Silver Quintet" 4.02 2,091 53
Dio 3.93 5,449 188
"Bob Dylan" 3.91 5,530 257
Dissection 3.91 6,833 275
"Broken Social Scene" 3.93 4,521 142
"Creedence Clearwater Revival" 3.85 7,707 281
Neurosis 3.95 4,452 165
Motörhead 3.92 4,626 152
"Built to Spill" 3.90 6,092 222
"The Microphones" 3.91 5,895 140
Beck! 3.92 4,602 91
"Isaac Hayes" 3.76 11,462 389
"Sonic Youth" 3.96 3,329 148
"The Mothers of Invention" 3.80 10,327 231
Caravan 3.85 7,836 297
"Mercyful Fate" 3.93 4,289 202
"The Smiths" 3.93 3,732 158
"Porcupine Tree" 3.77 11,300 321
Slayer 3.93 4,183 164
Parliament 3.88 6,701 232
"Iron Maiden" 3.95 3,762 121
"Sigur Rós" 3.84 8,325 313
Suicide 3.76 10,450 290
"Sun Ra" 3.84 7,874 309
Mastodon 3.98 2,695 59
Megadeth 3.85 8,131 219
"Miles Davis" 3.85 7,982 371
"Komeda Quintet" 3.94 4,188 160
Atheist 3.97 2,269 51
"Miles Davis" 3.88 4,923 160
Refused 3.92 6,059 171
"Aphex Twin" 3.86 6,595 245
"Iron Maiden" 3.78 9,489 188
"Mr. Bungle" 3.86 7,080 264
"Jefferson Airplane" 3.86 5,715 231
Emperor 3.85 7,283 263
"John Williams" 3.90 4,422 146
"Glenn Gould" 4.00 1,166 20
"Tom Waits" 4.00 1,477 45
"Peter Gabriel" 3.97 3,365 141
"Stevie Wonder" 3.92 4,422 171
"Deltron 3030" 3.93 4,400 155
"Akira Yamaoka" 3.87 5,932 189
"Lou Reed" 3.98 2,198 78
"The Who" 3.86 6,188 238
"Aphex Twin" 3.81 8,591 381
"Fleet Foxes" 3.83 7,108 219
"My Bloody Valentine" 3.72 11,302 450
Rush 3.76 11,161 274
"Columbia Symphony Orchestra" 3.89 5,297 205
Boris 4.04 429 4
Motörhead 3.87 5,353 151
"Judas Priest" 3.93 4,239 162
"Creedence Clearwater Revival" 3.90 5,479 220
"Gene Clark" 3.92 4,653 153
"Joanna Newsom" 3.97 2,142 120
"Van der Graaf Generator" 3.84 6,038 315
Boredoms 3.85 6,047 188
"Iggy Pop" 3.85 6,785 171
Fugazi 3.89 5,448 137
Swans 3.86 6,174 106
Genesis 3.89 5,817 217
Kyuss 3.88 6,214 175
"Miles Davis" 3.97 2,253 102
"Amon Düül II" 3.89 5,219 172
"Mercyful Fate" 3.92 3,562 127
"The Fall" 3.90 4,918 151
Björk 3.73 11,801 292
"Thelonious Monk" 3.93 3,332 87
"Nick Cave and The Bad Seeds" 3.90 5,339 141
"John Fahey" 3.96 2,280 63
"The Beatles" 3.76 13,122 459
"MF DOOM" 3.87 6,319 134
"Brand New" 3.79 8,297 294
"Glenn Gould" 3.96 1,573 45
Portishead 3.84 8,714 170
"Caetano Veloso" 3.96 2,521 64
Opeth 3.83 7,593 270
"Van der Graaf Generator" 3.95 3,070 105
"Glenn Branca" 3.88 4,976 138
"Thin Lizzy" 3.92 3,900 193
Boris 3.86 5,187 141
D'Angelo 3.91 3,905 114
"A Tribe Called Quest" 3.87 5,506 100
"Frank Ocean" 3.80 8,576 193
"Duke Ellington" 3.99 1,821 54
"Run the Jewels" 3.76 8,548 168
"The Smiths" 3.80 9,122 237
"Elvis Costello" 3.85 6,063 227
"John Williams" 3.99 1,388 35
"Jackson C. Frank" 3.94 2,890 76
"PJ Harvey" 3.80 7,552 292
"Animal Collective" 3.75 10,683 309
"Tom Waits" 3.85 6,247 214
"Aretha Franklin" 3.96 2,303 69
"New Order" 3.82 8,331 199
PiL 3.86 5,557 215
"Arcade Fire" 3.66 13,481 475
"American Football" 3.76 8,951 224
"Aretha Franklin" 3.94 2,940 109
"Townes Van Zandt" 3.96 2,483 63
Darkthrone 3.87 4,825 147
"The Beatles" 3.76 13,078 488
"Johnny Cash" 4.02 721 20
"The National" 3.76 8,837 388
Deftones 3.79 7,791 268
Sepultura 3.89 4,411 140
"The Replacements" 3.93 4,792 179
"Brian Eno" 3.76 8,154 277
"Stars of the Lid" 3.86 4,573 110
"Ennio Morricone" 4.03 897 19
"Steely Dan" 3.93 3,622 135
"Big L" 3.89 5,392 263
"The Mothers of Invention" 3.91 3,894 192
Candlemass 3.85 6,197 268
Jaÿ-Z 3.87 4,129 126
"Sun Kil Moon" 3.87 5,222 251
"Popol Vuh" 3.90 4,081 110
"Magnolia Electric Co." 3.87 4,140 101
Queensrÿche 3.93 2,897 74
"The National" 3.84 4,856 263
"Iggy Pop" 3.83 7,201 210
"Godspeed You! Black Emperor" 3.86 6,523 196
"Nick Cave & The Bad Seeds" 3.77 8,793 222
"The Roots" 3.88 4,767 110
"Public Enemy" 3.93 4,376 256
"John Cale" 3.92 3,485 120
"Bon Iver" 3.88 4,729 114
"The Dismemberment Plan" 3.86 4,929 183
AIR 3.88 4,415 156
Isis 3.73 10,432 344
